Black Bowmore 42 year old 1964 vintage,"What impresses me most is how this whisky evolves; it's incredibly complex. On the nose and palate, this is a thick, viscous, whisky with notes of sticky toffee, earthy oak, fig cake, roasted nuts, fallen fruit, pancake batter, black cherry, ripe peach, dark chocolate-covered espresso bean, polished leather, tobacco, a hint of wild game, and lingering, leafy damp kiln smoke. Flavors continue on the palate long after swallowing. This is what we all hope for (and dream of) in an older whisky!",97 points,Single Malt Scotch  , John Hansell ,  $4500,Summer 2008,40.5%
Kirkland Signature (distilled at Glenlivet) 40 year old,"Bottling of a large package of 12 butts and 30 hoggies dating from 1972. The nose is slightly closed initially, but shows good mature distillery character: old apple, potpourri, more raspberry, and furniture polish. The palate is a little dry, with humidor and light chocolate, but needs water to bring out the fruit-sugar sweetness. It’s good, but that low bottling strength has sapped it of the energy which is vital for old whiskies. (U.S. only)",83 points,Single Malt Scotch  , Dave Broom ,  $700,Fall 2014,40%
The Glenlivet Nadurra Islay Cask,"The aim here was to recreate the style of malt made by George Smith, but rather than running peated malt, Chivas Bros. has aged the spirit in Islay casks (not what George would have done). On the upside, this is a classic Nadurra: estery fruits with pineapple to the fore, freesia, pear, and fresh apple, the smoke giving subtle gun-flint notes to the palate. I like it as a dram, but it’s wimped out of what was intended. Marked accordingly.",83 points,Single Malt Scotch  , Dave Broom ,  $89,Winter 2015,61.5%
Glenrothes 2001 (bottled 2012),"A typical Rothes nose, with vanilla, granola, apple, Brazil nut, lemon, and low-level sweet spices mixing with lightly oxidized fruits. That said, it needs water, especially for the palate, where the malty crispness of the undiluted taste is replaced by something more considered, darkly fruity and gently spicy; coriander is uppermost. All in all, this is Rothes in very approachable rather than dynamic guise. One for a lazy afternoon.",83 points,Single Malt Scotch  , Dave Broom ,  $67,Fall 2013,43%
Glenturret Sherry Edition,"Principally matured in bourbon casks, this expression has undergone a finishing period in sherry casks. Sweet wood polish on the nose, with brief pineapple juice notes and rosehip syrup. Smooth and fruity on the palate, with vanilla, spicy milk chocolate, sultanas, and some earthiness. The finish is medium in length, with sherry and a tang of bitter orange. £47",83 points,Single Malt Scotch  , Gavin Smith ,  $73,Fall 2015,46%
Highland Park,"Pleasant aroma (subtle, but with nice depth), with notes of honeyed lime, kiwi, chopped nuts, chocolate fudge, and gentle, seasoned tobacco. Everything is working nicely on the palate too, with a similar flavor profile (the nuts now being roasted) and some smoldering smoke, until about mid-palate, when its age becomes evident with some wet wood notes blending in the mix through to the finish. (Exclusive to Virginia ABC.)",83 points,Single Malt Scotch  , John Hansell ,  $440.00,Spring 2007,45.4%
Highland Park Svein,"Named after the Viking chieftain whose exploits are central to the Orkneyinga Saga, Svein is the least typically Highland Park of the initial three Warrior releases. The nose is oily, with starch and ozone, then ultimately freshly-squeezed orange and lemon juice. The palate offers a suggestion of smoke, sawdust, and vanilla. Nutty and slightly peppery in the finish, with just a suggestion of peat. €40/liter",83 points,Single Malt Scotch  , Gavin Smith ,  $51.00,Summer 2013,40%
Highland Park Ambassador's Choice 10 year old,"Originally exclusive to the Swedish market, this expression was selected by Highland Park’s Danish brand ambassador Martin Markvardsen. Matured in a combination of 70% bourbon barrels and 30% oloroso sherry casks. Waxy and malty on the early nose, with fresh earth, damp moss, vanilla, and honey. Gentle peat on the palate, more earthy notes; herbal, with lime and salt. The finish is quite short, showing apricots, slight peatiness, allspice.",83 points,Single Malt Scotch  , Gavin Smith ,  $90,Fall 2015,46%
Berry Bros. & Rudd (distilled at Imperial) 17 year old 1995,"The news that there’s a new distillery being built on the Imperial site is something to be celebrated. One hopes that the new plant makes whisky of the same character as the old, because Imperial is a classic single malt which is about fragrance (here pineapple and toasted marshmallows) and a clinging, seductive, cream soda quality. Whiskies like these are poems, they need you to concentrate. This is a touch rigid, but that’s a minor criticism of a gorgeous dram. £60",83 points,Single Malt Scotch  , Dave Broom ,  $93.00,Spring 2013,46%
Inchmurrin 18 year old,"The nose offers less rich, peachy fruit than the 12 year old. More perfumed, with toasted marshmallows. Silky and sweet on the palate, with tinned pears and pineapple, plus developing toffee and oak. The finish is quite long, with persistent ginger, drying slightly. £77",83 points,Single Malt Scotch  , Gavin Smith ,  $111,Spring 2016,46%
Lagavulin 12 year old (Diageo Special Release 2014),"Typically pale and slightly broader than in previous years, with a little more fleshiness that rubs alongside squid ink and white pepper. Huge smoke mingles with the sharp tang of brine and a touch of bran. Water brings out lanolin. There’s little oak getting in the way of the distillery character here and while water settles the waves, it just doesn’t have the extra dimension that elevates the decent to the great. It does make a great highball tho’. (31,428 bottles)",83 points,Single Malt Scotch  , Dave Broom ,  $130,Winter 2014,54.4%
Signatory 7 year old (distilled at Laphroaig) 1999 vintage,"Tastes more mature than its age would suggest. It’s packed with ripe, sweet barley (especially at the palate entry). There are some high citrus fruit notes and anise that emerge before the signature Laphroaig peat smoke and tar wallops you. Very vibrant and youthful, but without being too green. A steal for $45. (A Binny’s Beverage Depot exclusive)",83 points,Single Malt Scotch  , John Hansell ,  $45,Fall 2007,58.0%
Ledaig 10 year old,"Tobermory’s peated offering. Great to see Ledaig hitting its stride, with a brisk punch of peat and not chill-filtered. There’s a bit of a raw edge too, quite bracing but still plenty of soothing sweetness. Earthy peat smoke, ripe barley, honeyed vanilla, bourbon barrel char, black licorice stick, espresso bean, olive brine, and suggestions of beef jerky. In some respects, it even tastes younger than 10 years old, but I’m balancing that with bonus points for distinctiveness.",83 points,Single Malt Scotch  , John Hansell ,  $49,Spring 2011,46.3%
Duncan Taylor 'Rarest of the Rare' (distilled at Linlithgow),"Spicy and botanical on the nose, with notes of ginger, juniper, lemon grass, orange, and grapefruit rind. Similar follow-through on the palate, with added notes of vanilla, honeyed malt, and hay. Gentle, dried herb and spice finish. Certainly some interesting -- perhaps even peculiar -- flavors from this product of the demolished Lowland distillery.",83 points,Single Malt Scotch  , John Hansell ,  $220.00,Fall 2007,63.5%
Gordon & MacPhail (distilled at Linkwood) 15 year old,"A catch-up rather than a new release, but a fascinating contrast to the 14 year old Flora & Fauna bottling. Yes, there’s apple blossom, but here there’s more medlar, fruit syrups, raspberry, and an intriguing play between vanilla and lightly oxidized nuttiness. Linkwood’s substance is shown on the palate, where an oily feel adds texture to the lush dried fruits and saffron-led spiciness. Best neat. An elegant dram.",83 points,Single Malt Scotch  , Dave Broom ,  $80.00,Winter 2012,43%
Douglas Laing Old Malt Cask series (distilled at Littlemill) 21 year old,"Matured in a refill hogshead, the out-turn was 262 bottles. The nose is malty, with the oiliness of figs, plus dates and tinned peaches. Supple on the palate, with vanilla, honey, and spicy resin notes. The finish is medium in length, warming, and slightly herbal, with nutmeg and malt. £90",83 points,Single Malt Scotch  , Gavin Smith ,  $137.00,Summer 2013,50%
Murray McDavid (distilled at Lochside) 1981,"Antique gold color. Fruity aroma with delicate notes of spice (anise, eucalyptus). More fruit on the palate-soft in texture and gently sweet-with interwoven fresh spice notes and a pleasing rounded finish. A gentle, medium-bodied dram.",83 points,Single Malt Scotch  , John Hansell ,  $76.00,Summer 2001,46%
Longrow C.V.,"A combination of 6, 10, and 14 year old Longrow. I was concerned that there would be too much young whisky in here (like there was with the Springbank C.V. several years ago), but this isn’t the case. Youthful? Yes. Immature? No. A Longrow with an attitude. Creamy, sweeter vanilla notes up front, with kiln smoke, sea-soaked stone, tar, anise, chocolate fudge, and apricot. I would like to see more of the older whisky in here, because it leans towards the young side, but it is still a vibrant, enjoyable whisky.",83 points,Single Malt Scotch  , John Hansell ,  $75.00,Fall 2008,46%
Gordon & MacPhail (distilled at Longmorn),"A nicely clean Longmorn, expressing floral notes (especially violets) and bright fruit (lemon, lime, cantelope, plums), supported interwoven notes of honey, rich malt, bread pudding, dates and vanilla. The classic Longmorn viscosity is there, and this thickness is tamed by a very pleasing spicy, dry oak finish, with a hint of salt. I could drink this stuff anytime. G&M’s move to 46% has certainly benefited this whisky. (Bottled exclusively for Binny’s Beverage Depot.)",83 points,Single Malt Scotch  , John Hansell ,  $65.00,Fall 2005,46%
Single Malts of Scotland (distilled at Longmorn) 1990,"Longmorn is one of Speyside’s fruit bombs, something which remains true here, even if in slightly paler guise than usual. Instead of ripe autumn fruits, here you get kiwi, William pear, green plum, even green tomato, and a faint blossom reminiscent of the almond notes of sakura (cherry blossom). I’d keep water well away, such is this light, lacy Longmorn’s fragility. £73",83 points,Single Malt Scotch  , Dave Broom ,  $121,Spring 2014,48.1%
Duncan Taylor (distilled at Longmorn) 18 year old,"Oak-driven, with cream and butterscotch dominating the nose initially. Then there’s black cherry, and coriander seed frying in butter. The weighty distillate adds depth, but not specific flavors. The palate is all coconut cream, cream toffee, then Longmorn’s cooked plum density comes in. I’d have preferred the oak to be scaled back, allowing the distillate to show, but if you’re looking for a scotch made for bourbon lovers, then go no further.",83 points,Single Malt Scotch  , Dave Broom ,  $190,Fall 2015,51.6%
Signatory 14 year old 1990 vintage (distilled at Macallan,"Aged in a refill butt, and very pale in color. Very fragrant -- fruity and spicy -- with notes of vanilla, lemongrass, ginger, sultana, citrus zest, key lime, and green grapes. There’s a floral component, too (rose petals?). A very delicate Macallan, and quite suitable as an aperitif. (749 bottles produced.)",83 points,Single Malt Scotch  , John Hansell ,  $70,Spring 2007,46%
The Macallan 10 year old Fine Oak,"A nicely honeyed malty foundation is balanced by fruit on the front of the palate, with a pleasingly dry, spicy finish. It would benefit by being bottled at 43%, like the older two expressions. It is simple, straight-forward, and unpretentious, as one would expect in a 10 year old whisky.",83 points,Single Malt Scotch  , John Hansell ,  $44,Spring 2005,40%
